Topic:0 number(0.0563) ritualisation(0.0524) points(0.0793) activity(0.8383) sinclair(0.2262) numbers(0.8584) thinking(0.9114) structured(0.3034) touching(0.1200) hundred(0.5903)

Topic:1 students(0.3705) algebraic(0.3476) problem(0.8614) structure(0.1196) problemposing(0.8058) structures(0.0096) symbolism(0.0750) meaning(0.7173) semantic(0.0207) concepts(0.0060)

Topic:2 differential(0.1352) relationship(0.0084) method(0.1495) geogebra(0.0917) dynamic(0.6079) participants(0.1063) acodesa(0.1776) confidence(0.5983) misconceptions(0.2921) students’(0.0276)

Topic:3 threetier(0.4298) correct(0.7803) sample(0.6613) responses(0.6269) anxiety(0.1398) performance(0.6718) children(0.5524) mathematics(0.2849) cognitive(0.3492) attitudes(0.5124)

Topic:4 arithmetic(0.1875) memory(0.9456) problemsolving(0.5646) function(0.4653) inverse(0.4992) noticing(0.2609) concept(0.3041) reciprocal(0.7204) student(0.2199) melissa(0.8709)

Topic:5 teacher(0.0988) affect(0.4463) affective(0.4410) beliefs(0.5870) factor(0.9815) emotions(0.7620) children’s(0.6359) hannula(0.5228) assessment(0.0668) summative(0.9773)

Topic:6 moment(0.1189) formative(0.9822) cabral(0.4929) social(0.5826) baldino(0.8339) splitting(0.5456) education(0.5094) journal(0.1739) educational(0.2339) learning(0.4870)

Topic:7 mathematical(0.8244) studies(0.3029) international(0.0237) psychology(0.4500) competency(0.9945) competencies(0.6795) competence(0.5467) subject(0.9396) matter(0.4363) højgaard(0.8277)

Topic:8 contexts(0.6753) decrease(0.7682) increase(0.7468) pictorial(0.4262) change(0.8235) auditory(0.3431) modality(0.4169) variable(0.7967) algebra(0.4573) grades(0.4157)

Topic:9 variables(0.7547) teaching(0.8307) teachers’(0.3660) development(0.6625) classroom(0.2934) knowledge(0.9128) intervention(0.3510) rational(0.9899) sampling(0.9283) lesson(0.9445)

Topic:10 scores(0.4283) frequency(0.5259) effects(0.9991) characteristics(0.8489) solution(0.1808) groups(0.7514) digital(0.4614) technology(0.2865) design(0.8378) environments(0.7143)

Topic:11 distance(0.1356) courses(0.4103) intuitive(0.6505) conceptions(0.0180) strategies(0.1061) conception(0.3321) implementation(0.4796) professional(0.2411) material(0.1398) schools(0.8052)

Topic:12 materials(0.8695) improvement(0.1699) communities(0.7642) strategy(0.2500) primary(0.5693) secondary(0.1469) pattern(0.5172) activities(0.6005) generalisation(0.3802) language(0.4899)

